+++++++++++++++++++++++++++++++++++++++++++++
++++++++++       REPORT INFO       ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


SUMMARY
===============================================
|     Property     |          Value           |
===============================================
| User             | runner                   |
| Host             | 2ba9fdf1c0bc             |
| Tool             | Riviera-PRO 2023.04      |
| Report file      | /home/runner/cov.txt     |
| Report date      | 2024-04-29 15:34         |
| Report arguments | -verbose                 |
| Input file       | /home/runner/fcover.acdb |
| Input file date  | 2024-04-29 15:34         |
| Number of tests  | 1                        |
===============================================


TEST DETAILS
==============================================
| Property |              Value              |
==============================================
| Test     | fcover.acdb:fcover              |
| Status   | Ok                              |
| Args     | asim +access+r                  |
| Simtime  | 15757390000 ps                  |
| Cputime  | 16.912 s                        |
| Seed     | 1                               |
| Date     | 2024-04-29 15:33                |
| User     | runner                          |
| Host     | 2ba9fdf1c0bc                    |
| Host os  | Linux64                         |
| Tool     | Riviera-PRO 2023.04 (simulator) |
==============================================


+++++++++++++++++++++++++++++++++++++++++++++
++++++++++     DESIGN HIERARCHY    ++++++++++
+++++++++++++++++++++++++++++++++++++++++++++


CUMULATIVE SUMMARY
=============================================
|    Coverage Type    | Weight | Hits/Total |
=============================================
| Covergroup Coverage |      1 |    68.284% |
|---------------------|--------|------------|
| Types               |        |      0 / 1 |
=============================================
CUMULATIVE INSTANCE-BASED COVERAGE: 68.284%
COVERED INSTANCES: 0 / 1
FILES: 1


CLASS - /\package tb_pkg\/uart_coverage : work.tb_pkg/\tb_pkg uart_coverage \


    SUMMARY
    =============================================
    |    Coverage Type    | Weight | Hits/Total |
    =============================================
    | Covergroup Coverage |      1 |    68.284% |
    |---------------------|--------|------------|
    | Types               |        |      0 / 1 |
    =============================================
    WEIGHTED AVERAGE LOCAL: 68.284%


    COVERGROUP COVERAGE
    ==================================================================================
    |                  Covergroup                  |   Hits   |  Goal /  |  Status   |
    |                                              |          | At Least |           |
    ==================================================================================
    | TYPE /\package tb_pkg\/uart_coverage/dut_cov |  68.284% | 100.000% | Uncovered |
    ==================================================================================
    | INSTANCE <UNNAMED1>                          |  68.284% | 100.000% | Uncovered |
    |----------------------------------------------|----------|----------|-----------|
    | COVERPOINT <UNNAMED1>::BAUD                  | 100.000% | 100.000% | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | bin baud_val[4800]                           |        1 |        1 | Covered   |
    | bin baud_val[9600]                           |        1 |        1 | Covered   |
    | bin baud_val[14400]                          |        3 |        1 | Covered   |
    | bin baud_val[19200]                          |        2 |        1 | Covered   |
    | bin baud_val[38400]                          |        2 |        1 | Covered   |
    | bin baud_val[57600]                          |        1 |        1 | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | COVERPOINT <UNNAMED1>::LENGTH                | 100.000% | 100.000% | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | bin length_val[5]                            |        3 |        1 | Covered   |
    | bin length_val[6]                            |        3 |        1 | Covered   |
    | bin length_val[7]                            |        1 |        1 | Covered   |
    | bin length_val[8]                            |        3 |        1 | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | COVERPOINT <UNNAMED1>::PARITY                | 100.000% | 100.000% | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | bin odd_parity[0]                            |        5 |        1 | Covered   |
    | bin even_parity[1]                           |        5 |        1 | Covered   |
    |----------------------------------------------|----------|----------|-----------|
    | COVERPOINT <UNNAMED1>::TX_DATA               |   3.921% | 100.000% | Uncovered |
    |----------------------------------------------|----------|----------|-----------|
    | bin auto[0]                                  |        0 |        1 | Zero      |
    | bin auto[1]                                  |        0 |        1 | Zero      |
    | bin auto[2]                                  |        0 |        1 | Zero      |
    | bin auto[3]                                  |        1 |        1 | Covered   |
    | bin auto[4]                                  |        0 |        1 | Zero      |
    | bin auto[5]                                  |        0 |        1 | Zero      |
    | bin auto[6]                                  |        1 |        1 | Covered   |
    | bin auto[7]                                  |        1 |        1 | Covered   |
    | bin auto[8]                                  |        0 |        1 | Zero      |
    | bin auto[9]                                  |        0 |        1 | Zero      |
    | bin auto[10]                                 |        0 |        1 | Zero      |
    | bin auto[11]                                 |        0 |        1 | Zero      |
    | bin auto[12]                                 |        0 |        1 | Zero      |
    | bin auto[13]                                 |        0 |        1 | Zero      |
    | bin auto[14]                                 |        0 |        1 | Zero      |
    | bin auto[15]                                 |        0 |        1 | Zero      |
    | bin auto[16]                                 |        0 |        1 | Zero      |
    | bin auto[17]                                 |        0 |        1 | Zero      |
    | bin auto[18]                                 |        0 |        1 | Zero      |
    | bin auto[19]                                 |        0 |        1 | Zero      |
    | bin auto[20]                                 |        0 |        1 | Zero      |
    | bin auto[21]                                 |        0 |        1 | Zero      |
    | bin auto[22]                                 |        0 |        1 | Zero      |
    | bin auto[23]                                 |        1 |        1 | Covered   |
    | bin auto[24]                                 |        0 |        1 | Zero      |
    | bin auto[25]                                 |        0 |        1 | Zero      |
